hash,cadical_runtimes,cadical_elimfalse_runtimes,cadical_pripro_runtimes,cadical_stability_runtimes,candy_runtimes,glucose_chanseok_runtimes,glucose_runtimes,glucose_syrup_runtimes,glucose_var_decay099_runtimes,kissat_runtimes,kissat_sweep_runtimes,lingeling_runtimes,lstech_maple_runtimes,march_nh_runtimes,minisat__runtimes,relaxed__runtimes,slime_runtimes,yalsat_runtimes
a54481a1fbc3394bcac2831e407c905d,timeout,timeout,timeout,timeout,102.39,45.68,132.79,150.95,20.59,4.89,4.09,52.09,102.48,timeout,180.87,162.58,59.68,timeout
a54ff889494f0ebe0eeeff8772ced23f,961.65,676.87,1013.45,1062.06,316.17,198.99,167.99,708.11,163.49,290.47,299.97,465.87,341.57,timeout,617.60,413.79,440.86,timeout
a61e2468dfcf20b464449bbda40e0140,0.59,0.60,0.60,0.59,1672.51,923.88,826.47,954.25,837.67,0.39,0.39,44.08,926.87,15.79,808.47,972.46,962.75,timeout
a63717cf71e4582f172eadb0582bf250,timeout,3756.98,timeout,2542.50,timeout,4704.63,1100.11,14147.66,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a6e940f95d1dd14227bf121f6a35dd8d,timeout,3492.21,timeout,timeout,timeout,4742.94,timeout,timeout,timeout,1545.44,timeout,timeout,3949.57,timeout,timeout,timeout,timeout,timeout
a6f081826cc948105b3a6c2983cba230,timeout,timeout,timeout,timeout,133.29,94.89,343.78,765.32,186.08,23.59,24.09,574.77,290.69,timeout,326.28,312.18,336.27,timeout
a723d60f96607c2e54bcdbaf8a6b943c,1.09,7.79,5.89,2.10,3.69,0.49,0.69,3.07,1.30,4.59,3.39,17.89,5.89,0.49,2.60,10.19,11.29,timeout
a730eba7f8e488b74cbc009407f49f50,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a782f73ab11758b7d74359bdad3b8d60,2954.94,timeout,4425.86,timeout,timeout,timeout,timeout,timeout,3872.04,timeout,timeout,844.85,3086.11,timeout,timeout,timeout,500.78,275.39
a7841d5172a4f5f4d1104bf720caefae,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
